,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,x1,y1,x2,y2,x3,y3,x4,y4
0,570,570,2.935,14.67,-0.455,-12.67,1.585,14.67,Down,Hit,TEST,TEST,1023.0,223.0,496.0,226.0,284.0,705.0,1234.0,705.0
1,605,605,-1.395,-13.23,-0.275,-13.23,1.155,14.14,Up,Hit,TEST,TEST,1023.0,224.0,496.0,227.0,284.0,705.0,1234.0,704.0
2,1200,1200,-1.265,11.75,3.965,-15.36,-1.555,11.75,Down,Hit,TEST,TEST,1023.0,223.0,496.0,226.0,282.0,704.0,1234.0,704.0
3,1245,1245,2.285,-13.86,3.035,-13.86,-1.135,10.95,Up,Hit,TEST,TEST,1023.0,225.0,496.0,226.0,282.0,705.0,1234.0,705.0
4,1285,1285,-4.305,12.51,1.435,-13.9,-3.385,12.75,Down,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,282.0,705.0,1234.0,704.0
5,1320,1320,4.825,-12.49,3.765,-12.49,-2.575,13.52,Up,Hit,TEST,TEST,1021.0,222.0,496.0,226.0,281.0,705.0,1234.0,704.0
6,1862,1862,1.425,11.12,-3.705,-14.96,1.165,11.12,Down,Hit,TEST,TEST,1020.0,223.0,496.0,228.0,283.0,705.0,1234.0,704.0
7,1882,1882,-2.745,-13.69,-3.195,-13.69,0.725,10.86,Up,Hit,TEST,TEST,1022.0,223.0,498.0,226.0,283.0,705.0,1234.0,704.0
8,1914,1914,-0.815,12.66,-1.205,-13.38,-1.405,12.66,Down,Hit,TEST,TEST,1021.0,223.0,496.0,225.0,283.0,705.0,1234.0,705.0
9,1960,1960,2.835,-13.16,1.775,-13.18,-1.365,14.4,Down,Hit,TEST,TEST,1021.0,223.0,496.0,225.0,283.0,705.0,1234.0,705.0
10,1996,1996,-5.125,14.43,1.995,-13.17,-3.915,14.43,Down,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,284.0,703.0,1234.0,705.0
11,2050,2050,5.225,-12.29,4.065,-12.29,-2.535,13.96,Up,Hit,TEST,TEST,1023.0,223.0,496.0,226.0,283.0,703.0,1234.0,705.0
12,2086,2086,-5.905,13.56,2.695,-13.14,-5.175,13.56,Down,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,300.0,691.0,1234.0,705.0
13,2856,2856,-1.425,11.96,3.945,-15.15,-1.605,11.96,Down,Hit,TEST,TEST,1023.0,223.0,496.0,225.0,282.0,703.0,1234.0,704.0
14,2948,2948,-5.085,10.1,1.655,-13.75,-3.965,10.1,Down,Hit,TEST,TEST,1023.0,223.0,496.0,226.0,278.0,707.0,1234.0,705.0
15,3585,3585,0.5749999999999991,10.57,-4.015,-13.88,1.275,10.57,Down,Hit,TEST,TEST,1022.0,223.0,496.0,228.0,283.0,704.0,1234.0,704.0
16,4097,4097,-1.335,11.76,3.925,-15.15,-1.575,11.76,Down,Hit,TEST,TEST,1023.0,223.0,496.0,225.0,282.0,703.0,1235.0,705.0
17,4139,4139,6.205,-13.76,4.195,-13.76,-1.145,10.55,Up,Hit,TEST,TEST,1023.0,224.0,495.0,226.0,283.0,704.0,1235.0,705.0
18,5932,5932,1.805,11.87,-3.965,-14.75,0.955,11.87,Down,Hit,TEST,TEST,1021.0,221.0,496.0,226.0,282.0,706.0,1234.0,704.0
19,6237,6237,1.685,12.01,-3.965,-13.81,0.775,12.01,Down,Hit,TEST,TEST,1022.0,221.0,499.0,223.0,282.0,706.0,1234.0,705.0
20,6290,6290,-2.355,-12.71,-3.055,-12.71,0.614999999999999,11.45,Up,Hit,TEST,TEST,1021.0,223.0,499.0,223.0,282.0,707.0,1235.0,705.0
21,6328,6328,-1.025,11.68,-0.405,-13.41,-0.365,11.68,Down,Hit,TEST,TEST,1023.0,222.0,496.0,225.0,282.0,706.0,1235.0,705.0
22,6956,6956,-0.805000000000001,11.97,3.555,-14.05,-1.355,11.97,Down,Hit,TEST,TEST,1021.0,218.0,496.0,225.0,282.0,705.0,1234.0,705.0
23,7037,7037,-0.925000000000001,12.13,2.345,-13.97,-1.955,12.13,Down,Hit,TEST,TEST,1022.0,221.0,495.0,226.0,282.0,704.0,1235.0,705.0
24,7075,7075,1.905,-14.53,3.145,-14.53,-1.275,12.61,Up,Hit,TEST,TEST,1024.0,224.0,495.0,225.0,281.0,705.0,1234.0,705.0
25,7106,7106,-1.915,12.64,2.275,-15.22,-2.965,12.64,Down,Hit,TEST,TEST,1023.0,222.0,495.0,226.0,284.0,704.0,1235.0,705.0
26,7152,7152,2.245,-14.76,2.565,-14.76,-2.875,12.3,Up,Hit,TEST,TEST,1023.0,223.0,495.0,225.0,283.0,705.0,1234.0,704.0
27,7185,7185,-3.255,12.4,1.985,-15.51,-2.445,12.4,Down,Hit,TEST,TEST,1023.0,223.0,495.0,226.0,282.0,704.0,1235.0,705.0
28,7225,7225,2.745,-13.53,3.665,-13.53,-0.935,12.85,Up,Hit,TEST,TEST,1021.0,221.0,495.0,226.0,282.0,705.0,1234.0,704.0
29,7954,7954,1.705,12.04,-4.055,-14.81,0.795,12.04,Down,Hit,TEST,TEST,1020.0,222.0,499.0,225.0,283.0,705.0,1234.0,704.0
30,8372,8372,0.925,11.18,-3.725,-13.18,1.005,11.18,Down,Hit,TEST,TEST,1021.0,223.0,499.0,223.0,283.0,705.0,1234.0,704.0
31,8407,8407,-3.665,-12.84,-2.315,-12.84,0.44499999999999895,12.12,Up,Hit,TEST,TEST,1021.0,223.0,498.0,225.0,283.0,705.0,1234.0,704.0
32,8433,8433,-1.435,12.29,-0.275,-13.32,-0.605,12.29,Down,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,283.0,705.0,1234.0,705.0
33,8468,8468,1.825,-14.81,1.145,-14.83,-0.835,12.56,Down,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,283.0,705.0,1234.0,705.0
34,8515,8515,-1.235,14.08,0.605,-16.65,-2.135,14.08,Down,Hit,TEST,TEST,1023.0,223.0,496.0,225.0,283.0,705.0,1234.0,704.0
35,8552,8552,3.155,-15.01,2.305,-15.01,-1.655,13.22,Up,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,283.0,705.0,1234.0,705.0
36,8592,8592,-2.725,11.74,1.735,-15.4,-1.915,11.74,Down,Hit,TEST,TEST,1021.0,223.0,496.0,225.0,283.0,704.0,1234.0,705.0
37,8630,8630,1.535,-14.4,2.245,-14.4,-1.065,12.49,Up,Hit,TEST,TEST,1020.0,224.0,496.0,226.0,283.0,705.0,1234.0,704.0
38,8656,8656,-2.175,12.53,1.725,-15.52,-1.455,12.53,Down,Hit,TEST,TEST,1021.0,223.0,495.0,226.0,283.0,705.0,1234.0,705.0
39,8693,8693,-3.875,-15.41,-2.215,-15.41,0.0149999999999997,12.53,Up,Hit,TEST,TEST,1020.0,223.0,495.0,227.0,284.0,705.0,1234.0,705.0
40,8746,8746,3.045,11.7,-0.945,-15.5,2.015,11.7,Down,Hit,TEST,TEST,1021.0,223.0,495.0,226.0,283.0,705.0,1234.0,705.0
41,8783,8783,3.785,-15.66,2.465,-15.66,1.435,8.51,Up,Hit,TEST,TEST,1023.0,225.0,496.0,226.0,283.0,705.0,1234.0,704.0
42,9666,9666,-0.735,12.09,3.645,-14.44,-1.305,12.09,Down,Hit,TEST,TEST,1020.0,218.0,496.0,225.0,283.0,703.0,1234.0,705.0
43,10071,10071,-0.995,12.02,3.625,-13.94,-1.325,12.02,Down,Hit,TEST,TEST,1020.0,219.0,496.0,225.0,283.0,703.0,1234.0,704.0
44,10123,10123,5.115,-12.18,4.055,-12.18,-1.355,11.3,Up,Hit,TEST,TEST,1016.0,216.0,496.0,225.0,284.0,704.0,1234.0,705.0
45,10164,10164,-3.515,11.6,2.505,-13.99,-2.315,11.6,Down,Hit,TEST,TEST,1022.0,223.0,496.0,225.0,284.0,703.0,1234.0,705.0
46,11220,11220,-0.315,-14.29,-0.935,-14.29,0.375,11.24,Up,Hit,TEST,TEST,1023.0,223.0,495.0,226.0,284.0,703.0,1234.0,705.0
47,11290,11290,1.555,-45.89,-3.065,-14.86,-26.265,-45.89,Down,Hit,TEST,TEST,1021.0,223.0,496.0,226.0,284.0,704.0,1234.0,705.0
48,11378,11378,,,,,,,Down,Hit,TEST,TEST,,,,,,,,
49,11438,11438,,,,,,,Down,Hit,TEST,TEST,,,,,,,,
50,11454,11454,,,,,,,Up,Hit,TEST,TEST,,,,,,,,
51,11545,11545,,,,,,,Down,Hit,TEST,TEST,,,,,,,,
52,11576,11576,-5.745,-14.27,-3.935,-14.27,0.715,11.98,Up,Hit,TEST,TEST,1024.0,225.0,495.0,223.0,279.0,700.0,1235.0,701.0
53,11580,11580,1.415,11.9,-3.995,-14.21,0.675,11.9,Down,Hit,TEST,TEST,1022.0,222.0,499.0,224.0,284.0,703.0,1234.0,704.0
54,11639,11639,-2.245,-13.3,-2.855,-13.3,0.48499999999999893,11.37,Up,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,284.0,704.0,1235.0,705.0
55,11674,11674,-0.375,13.84,-0.155,-13.7,-0.855,13.84,Down,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,284.0,703.0,1235.0,705.0
56,11727,11727,2.345,-15.03,1.515,-15.29,-0.9750000000000011,13.14,Down,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,284.0,703.0,1235.0,705.0
